topic,published_at,title,url,description,source_name
construction,2025-05-05T08:51:48+00:00,"Public Employees Retirement Association of Colorado Makes New $416,000 Investment in Argan, Inc. (NYSE:AGX)",https://www.marketbeat.com/instant-alerts/public-employees-retirement-association-of-colorado-makes-new-416000-investment-in-argan-inc-nyseagx-2025-05-03/,"Public Employees Retirement Association of Colorado purchased a new stake in Argan, Inc. (NYSE:AGX - Free Report) in the fourth quarter, according to its most recent disclosure with the Securities and Exchange Commission. The institutional investor purchased 3,035 shares of the construction compan",lulegacy
construction,2025-05-05T08:46:58+00:00,"First Trust Advisors LP Sells 27,139 Shares of Quanex Building Products Co. (NYSE:NX)",https://www.etfdailynews.com/2025/05/05/first-trust-advisors-lp-sells-27139-shares-of-quanex-building-products-co-nysenx/,"First Trust Advisors LP trimmed its position in Quanex Building Products Co. (NYSE:NX &#8211; Free Report) by 19.0% in the 4th quarter, according to the company in its most recent disclosure with the Securities & Exchange Commission. The institutional investor owned 115,499 shares of the construction company&#8217;s stock after selling 27,139 shares during the period. [&#8230;]",etfdailynews
construction,2025-05-05T08:43:37+00:00,"Aquatic Capital Management LLC Purchases New Stake in Patrick Industries, Inc. (NASDAQ:PATK)",https://www.marketbeat.com/instant-alerts/aquatic-capital-management-llc-purchases-new-stake-in-patrick-industries-inc-nasdaqpatk-2025-05-03/,"Aquatic Capital Management LLC acquired a new position in Patrick Industries, Inc. (NASDAQ:PATK - Free Report) in the 4th quarter, according to the company in its most recent filing with the Securities and Exchange Commission (SEC). The institutional investor acquired 4,548 shares of the construct",lulegacy
construction,2025-05-05T08:32:48+00:00,"Boothbay Fund Management LLC Makes New Investment in Comfort Systems USA, Inc. (NYSE:FIX)",https://www.marketbeat.com/instant-alerts/boothbay-fund-management-llc-makes-new-investment-in-comfort-systems-usa-inc-nysefix-2025-05-03/,"Boothbay Fund Management LLC acquired a new stake in Comfort Systems USA, Inc. (NYSE:FIX - Free Report) in the fourth quarter, according to its most recent disclosure with the Securities and Exchange Commission (SEC). The fund acquired 749 shares of the construction company's stock, valued at appro",lulegacy
construction,2025-05-05T08:32:45+00:00,"Susquehanna Fundamental Investments LLC Takes $844,000 Position in United Rentals, Inc. (NYSE:URI)",https://www.marketbeat.com/instant-alerts/susquehanna-fundamental-investments-llc-takes-844000-position-in-united-rentals-inc-nyseuri-2025-05-03/,"Susquehanna Fundamental Investments LLC purchased a new position in United Rentals, Inc. (NYSE:URI - Free Report) during the 4th quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission (SEC). The fund purchased 1,198 shares of the construction com",lulegacy
construction,2025-05-05T08:23:18+00:00,"Voya Investment Management LLC Sells 21,648 Shares of KB Home (NYSE:KBH)",https://www.marketbeat.com/instant-alerts/voya-investment-management-llc-sells-21648-shares-of-kb-home-nysekbh-2025-05-03/,"Voya Investment Management LLC lessened its stake in KB Home (NYSE:KBH - Free Report) by 31.3% during the fourth quarter, according to its most recent filing with the Securities and Exchange Commission. The fund owned 47,558 shares of the construction company's stock after selling 21,648 shares dur",lulegacy
construction,2025-05-05T08:18:50+00:00,"Raymond James Financial Inc. Purchases Shares of 20,985 Winnebago Industries, Inc. (NYSE:WGO)",https://www.etfdailynews.com/2025/05/05/raymond-james-financial-inc-purchases-shares-of-20985-winnebago-industries-inc-nysewgo/,"Raymond James Financial Inc. acquired a new position in shares of Winnebago Industries, Inc. (NYSE:WGO &#8211; Free Report) in the 4th quarter, HoldingsChannel reports. The fund acquired 20,985 shares of the construction company&#8217;s stock, valued at approximately $1,003,000. A number of other institutional investors also recently modified their holdings of the stock. Vanguard Group Inc. [&#8230;]",etfdailynews
construction,2025-05-05T08:15:11+00:00,"Integrated Wealth Concepts LLC Has $479,000 Stock Position in D.R. Horton, Inc. (NYSE:DHI)",https://www.marketbeat.com/instant-alerts/integrated-wealth-concepts-llc-has-479000-stock-position-in-dr-horton-inc-nysedhi-2025-05-03/,"Integrated Wealth Concepts LLC lessened its position in D.R. Horton, Inc. (NYSE:DHI - Free Report) by 49.4% in the fourth quarter, according to its most recent disclosure with the SEC. The firm owned 3,426 shares of the construction company's stock after selling 3,344 shares during the period. Inte",lulegacy
construction,2025-05-05T08:14:51+00:00,"Price T Rowe Associates Inc. MD Decreases Holdings in Advanced Drainage Systems, Inc. (NYSE:WMS)",https://www.marketbeat.com/instant-alerts/price-t-rowe-associates-inc-md-decreases-holdings-in-advanced-drainage-systems-inc-nysewms-2025-05-03/,"Price T Rowe Associates Inc. MD decreased its holdings in Advanced Drainage Systems, Inc. (NYSE:WMS - Free Report) by 22.0% in the fourth quarter, according to its most recent 13F filing with the SEC. The institutional investor owned 99,401 shares of the construction company's stock after selling",lulegacy
construction,2025-05-05T08:14:40+00:00,"Price T Rowe Associates Inc. MD Purchases 9,781 Shares of AECOM (NYSE:ACM)",https://www.marketbeat.com/instant-alerts/price-t-rowe-associates-inc-md-purchases-9781-shares-of-aecom-nyseacm-2025-05-03/,"Price T Rowe Associates Inc. MD increased its holdings in shares of AECOM (NYSE:ACM - Free Report) by 8.8% in the 4th quarter, according to its most recent disclosure with the Securities and Exchange Commission (SEC). The firm owned 120,905 shares of the construction company's stock after purchasin",lulegacy
construction,2025-05-05T08:14:35+00:00,"KBR, Inc. (NYSE:KBR) Shares Sold by Price T Rowe Associates Inc. MD",https://www.marketbeat.com/instant-alerts/kbr-inc-nysekbr-shares-sold-by-price-t-rowe-associates-inc-md-2025-05-03/,"Price T Rowe Associates Inc. MD lowered its stake in shares of KBR, Inc. (NYSE:KBR - Free Report) by 3.3% during the fourth quarter, according to the company in its most recent disclosure with the Securities &amp; Exchange Commission. The fund owned 229,529 shares of the construction company's stoc",lulegacy
